city,country,description,location,State,state_abbrev,longitude,latitude,city_longitude,city_latitude,Audio Evidence,Image/Video/Visual Evidence,Haunted Places Date,Haunted Places Witness Count,Time of Day,Apparition Type,Event Type,Deaths per Year,Average Potential Life Years Lost per Death,"Deaths per 10,000 Adults",Percentage of Adults who Binge Drink 1+ Times per Month,Median Drinks per Binge,Top 25% Drinks per Binge,Median Binge per Month,Top 25% Binge per Month,Increase in Alcohol Deaths per Capita from 2015 to 2019,Male Proportion of Deaths,Percent Deaths from Chronic Causes,Percent Deaths from Acute Causes,Percent Deaths 35+,Percent Deaths under 21,Years of Life Lost per Year,Taxpayer Cost in 2010 (billions),Inflation Adjusted Cost to 2022 (billions),Inflation Adjusted Per Drink (2022),avg_violent_crime,avg_murder_manslaughter,avg_property_crime,avg_temp_rank,avg_precip_rank,precip_category,"Top_6_Primary_Substances (Per 100,000)","Alcohol (Per 100,000)","Heroin (Per 100,000)","Methamphetamine (Per 100,000)","Other Opiates/Synthetics (Per 100,000)","Marijuana/Hashish (Per 100,000)","Cocaine (Per 100,000)"
Winthrop,United States,Haunted by a ghost called Willie who died in a cannon accident.,Fort Banks,Massachusetts,MA,-70.980375,42.3854349,-70.98113339999999,42.3778173,False,False,2025/05/13,0,Unknown,Ghost,Accident,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0
Woburn,United States,Two Native American ghosts seen traveling through old parts of Horn Pond. Haunting Horn Pond trying to keep people out of their land.,Horn Pond,Massachusetts,MA,-71.1582197,42.4702341,-71.1522765,42.4792618,False,True,0227/03/13,2,Unknown,Ghost (Male),Supernatural,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0
Woburn,United States,"A horsefarm which closed down in the late 1990s due to chemicals and unsafe drinking water. The main building burnt down in the early 2000s, and the family house was recently demolished. The only things that remain are the big trailers, and the smaller house. There is a playground in the field that's terribly overgrown. Many report sightings of a white figure roaming on either sides of the dirt road leading to the farm. Strange noises are heard, as well as sightings of an abandoned ice cream truck in the woods.",Winning Farm,Massachusetts,MA,-71.12477799999999,42.506723,-71.1522765,42.4792618,True,False,2025/01/01,1,Unknown,Other (Male),Mystery,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0
Woburn,United States,Reports of cries for help in the bathroom in the old building of a kid who died in the that room. People reported that they see his ghost and hear him moaning. - November 2003 update/correction: It was a girl that committed suicide in the downstairs bathroom in 7 building. It's rumored that there are still bloodstains on the walls that maintenance couldn't get out. So it’s permanently locked. Supposedly people still hear her in there.,Woburn High School,Massachusetts,MA,-71.14410889999999,42.4838387,-71.1522765,42.4792618,True,True,2025/03/19,4,Unknown,Ghost (Male),Suicide,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0
Worcester,United States,"NO TRESSPASSING -  A very dangerous cemetery. There is a spider looking design on the gate to the cemetery, hence the name, Spider Gates Cemetery. It is said that sightings of wandering ghosts the sensations of someone brushing against them have been reported. Fainting often occurs as the images and sensations become too strong to bear. It is said that some have died from massive heart attacks when they were over come with fear.  Update - There are warning signs the further you get in, no one is permitted in since September 11th.",Spider Gates Cemetery,Massachusetts,MA,-71.8959903,42.2633796,-71.8022934,42.2625932,True,False,1740/03/13,1,Unknown,Ghost (Male),Death,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0
Worcester,United States,Has blood stains on the walls and now remains all boarded up. People have supposedly heard the screams of the patients who died there. - February 2007 Update: Worcester State is heavily patrolled by Worcester Police. Always get permission.,The Old Worcester State Hospital,Massachusetts,MA,-71.77212999999999,42.27791,-71.8022934,42.2625932,True,False,2007/02/13,2,Unknown,Unknown (Male),Death,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0
Yarmouth,United States,"Reports of sounds of doors slamming within indoor pool area when all doors are locked tight, items moved or placed in reception area within a matter of seconds, no known origins to these events, appearing to be a rather playful spirit, most likely a young little girl (left a baby hairclip on the counter as if to give clue to ""what it is"") several night-time employees get unnerved catching strange vibes, one house-keeper spotted an image of a small dog in hallway which then seemingly disappeared before her eyes.",Yarmouth Resort (formerly Flagship Inn),Massachusetts,MA,-70.2485275,41.6515985,-70.2286681,41.7056291,True,True,2025/01/01,0,Night,Ghost (Male),Supernatural,"2,760",25.7,4.88,21.1%,5.4,7.0,1.5,3.6,57.2%,68.4%,59.3%,40.7%,84.4%,1.88%,71022.0,5.635,7.607,2.61,29446.78571428572,164.85714285714286,152587.57142857142,129.0,123.0,Much Above Average,952.0,356.0,301.0,8.0,187.0,21.0,78.0
Pasadena,United States,Around midnight a lady wearing a white wedding dress was seen walking towards visitors in the parking lot then disappears.,Rose Bowl parking lot,California,CA,-118.1676462,34.1613284,-118.1445155,34.1477849,False,True,2025/01/01,1,Night,Unknown (Male),Violence,"15,443",24.4,5.04,16.6%,5.5,7.7,1.6,3.7,40.0%,69.1%,64.4%,35.6%,86.1%,2.49%,376899.0,35.011,47.264,3.29,181495.2857142857,2121.0714285714284,1091981.142857143,118.0,103.0,Above Average,338.0,87.0,51.0,105.0,57.0,30.0,9.0
Pasadena,United States,Heard galloping horses; seen spirit coyotes surrounding a particular figure with some sort of head dress; and apparitions.,The Colorado St. and Scoville Bridges,California,CA,-118.1645887,34.144553,-118.1445155,34.1477849,True,True,2025/01/01,1,Unknown,Ghost (Male),Supernatural,"15,443",24.4,5.04,16.6%,5.5,7.7,1.6,3.7,40.0%,69.1%,64.4%,35.6%,86.1%,2.49%,376899.0,35.011,47.264,3.29,181495.2857142857,2121.0714285714284,1091981.142857143,118.0,103.0,Above Average,338.0,87.0,51.0,105.0,57.0,30.0,9.0
Pasadena,United States,"Was once a College of the Performing Arts, and it has been reputedly haunted by the benevolent spirit of its founder, Gilmore Brown. Long after his death, and when the college was still operating; the elevator in the classroom tower building would often stop without command on the floor where Mr. Brown's office was located. Many actors and technicians have felt a spirit watching the proceedings and one evening.",The Historic State Landmark Theater,California,CA,-118.1609434,34.1516331,-118.1445155,34.1477849,False,False,2025/01/01,0,Evening,"Ghost (Male, actor)",Death,"15,443",24.4,5.04,16.6%,5.5,7.7,1.6,3.7,40.0%,69.1%,64.4%,35.6%,86.1%,2.49%,376899.0,35.011,47.264,3.29,181495.2857142857,2121.0714285714284,1091981.142857143,118.0,103.0,Above Average,338.0,87.0,51.0,105.0,57.0,30.0,9.0
