city,country,description,location,State,state_abbrev,longitude,latitude,city_longitude,city_latitude,Audio Evidence,Image/Video/Visual Evidence,Haunted Places Date,Haunted Places Witness Count,Time of Day,Apparition Type,Event Type,Deaths per Year,Average Potential Life Years Lost per Death,"Deaths per 10,000 Adults",Percentage of Adults who Binge Drink 1+ Times per Month,Median Drinks per Binge,Top 25% Drinks per Binge,Median Binge per Month,Top 25% Binge per Month,Increase in Alcohol Deaths per Capita from 2015 to 2019,Male Proportion of Deaths,Percent Deaths from Chronic Causes,Percent Deaths from Acute Causes,Percent Deaths 35+,Percent Deaths under 21,Years of Life Lost per Year,Taxpayer Cost in 2010 (billions),Inflation Adjusted Cost to 2022 (billions),Inflation Adjusted Per Drink (2022),avg_violent_crime,avg_murder_manslaughter,avg_property_crime,avg_temp_rank,avg_precip_rank,precip_category,"Top_6_Primary_Substances (Per 100,000)","Alcohol (Per 100,000)","Heroin (Per 100,000)","Methamphetamine (Per 100,000)","Other Opiates/Synthetics (Per 100,000)","Marijuana/Hashish (Per 100,000)","Cocaine (Per 100,000)",daylight_hours,Safe_Filename
Norfolk,United States,In the Engineering space where the ship was hit if you are working alone your tools will be moved on you and you can feel a presence of someone watching you. In the Hall of Heroes by the mess decks you can hear your name being called by an unseen woman. The ghosts just want to let people know that they are watching us,USS Cole,Virginia,VA,-76.2953745,36.848397,-76.28587259999999,36.8507689,True,True,1919/03/13,2,Unknown,Ghost (Male),Supernatural,"3,071",25.9,4.55,16.4%,5.5,7.2,1.6,3.7,51.7%,69.1%,57.1%,42.9%,83.0%,3.09%,79429.0,6.126,8.27,2.78,19088.571428571428,373.8571428571428,190735.2142857143,122.0,124.0,Much Above Average,202.0,61.0,28.0,35.0,27.0,30.0,20.0,11.83,In_the_Engineering_space_where_the_ship_was_hit_if.png
Norfolk,United States,"As strange as it sounds for a U.S. Navy ship to be haunted with a little girl, that appears to be what is happening. One of the few things on the GW. Multiple people have said that they have seen her in the lower levels of the Engineering spaces. One saw her in a pink and white dress. Another saw her in a blue dress and when he tried to get closer she was gone. Another sailor said that he had seen a guard dog on one of his tours, but the dog disappeared as soon as he got closer to it. There have been reports of strange noises, like the sound of someone jingling their keys as they walk down the stairs but there is no one on the stairs. One time a man walked halfway down the stairs but never made it to the bottom. Two gentlemen standing near watched him start his journey before he disappeared. Another group of men have seen a man walking through equipment before going out of sight. Once they investigated they found no one in the space. Other strange things happen as well, shoulder tapping, strange sounds, shadows, tools moving in the middle of the night. And most of all, the overwhelming sensation of being watched from every nook and cranny of the space.",USS George Washington,Virginia,VA,,,-76.28587259999999,36.8507689,True,True,1798/10/12,2,Night,Ghost (Male),Supernatural,"3,071",25.9,4.55,16.4%,5.5,7.2,1.6,3.7,51.7%,69.1%,57.1%,42.9%,83.0%,3.09%,79429.0,6.126,8.27,2.78,19088.571428571428,373.8571428571428,190735.2142857143,122.0,124.0,Much Above Average,202.0,61.0,28.0,35.0,27.0,30.0,20.0,11.83,As_strange_as_it_sounds_for_a_U_S__Navy_ship_to_be.png
Norfolk,United States,A girl haunts the women’s residency. She sits in a chair at night and follows anyone who comes in late or who gets up and walks to the bathroom where she supposedly had died. She is a mean ghost and has frightened many women at this college with her wicked stare as she follows them.,Weslyn,Virginia,VA,-76.1866644,36.8674624,-76.28587259999999,36.8507689,False,False,2025/01/01,0,Night,Ghost (Male),Death,"3,071",25.9,4.55,16.4%,5.5,7.2,1.6,3.7,51.7%,69.1%,57.1%,42.9%,83.0%,3.09%,79429.0,6.126,8.27,2.78,19088.571428571428,373.8571428571428,190735.2142857143,122.0,124.0,Much Above Average,202.0,61.0,28.0,35.0,27.0,30.0,20.0,11.83,A_girl_haunts_the_women_s_residency__She_sits_in_a.png
Norton,United States,"In the cemetery late at night, like midnight or later, no matter what the temperature, it gets cold as soon as you walk through the gates. And you hear noises in the bushes around you and the leaves are moving and there is no wind. It sounds like people are talking and whispering to one another, but you really can't understand what they are saying. Every once in a while, you see a shadowy figure ahead of you, and if you get closer it disappears. The whole time you are walking you can hear footsteps behind you. Some times you hear a train approaching, and you would probably say ""well that's normal since it is right by an active rail road track"", well let me tell you this: my mom is a conductor on the trains that go through there and she says they rarely ever go through there at that hour. Plus you can stand and listen to that sound for almost 10 to 15 minutes and the train never comes. Around dawn every thing seems to go back to being normal, no noises, no footsteps from unseen followers, nothing.",Ramsey Cemetery,Virginia,VA,-82.5897552,36.9445625,-82.6290459,36.933433,True,True,1851/03/13,2,Morning,Other (Male),Unknown,"3,071",25.9,4.55,16.4%,5.5,7.2,1.6,3.7,51.7%,69.1%,57.1%,42.9%,83.0%,3.09%,79429.0,6.126,8.27,2.78,19088.571428571428,373.8571428571428,190735.2142857143,122.0,124.0,Much Above Average,202.0,61.0,28.0,35.0,27.0,30.0,20.0,11.83,In_the_cemetery_late_at_night__like_midnight_or_la.png
Occoquan,United States,"In the early morning hours in October 2006 one of the artist witnessed a mist with a glow float thru the gallery.  Many of the artists have heard doors closing, footsteps and floors creaking as though someone was in the gallery.  During the 1990's one of the paintings came flying off the wall while one of the artists told young visitors stories of a man from centuries ago.  The young visitors ran screaming from the gallery leaving the artist to clean up the mess made by the spirit.",The Loft Gallery,Virginia,VA,-77.2610636,38.6847023,-77.260261,38.6837271,True,True,2006/10/13,1,Morning,"Ghost (Male, artist)",Supernatural,"3,071",25.9,4.55,16.4%,5.5,7.2,1.6,3.7,51.7%,69.1%,57.1%,42.9%,83.0%,3.09%,79429.0,6.126,8.27,2.78,19088.571428571428,373.8571428571428,190735.2142857143,122.0,124.0,Much Above Average,202.0,61.0,28.0,35.0,27.0,30.0,20.0,11.83,In_the_early_morning_hours_in_October_2006_one_of.png
Orange,United States,"People have reported seeing a woman calling out for her lost husband ""Jacob"" at the battlefield site, soldiers charging and laying in the remaining trenches, and people driving on the road beside the battlefield have reported seeing flashes of light described as ""the flash from a gun or cannon barrel"" appearing just above the battlefield grounds.",Wilderness Battlefield,Virginia,VA,-77.7564776,38.3175067,-78.1108342,38.2454106,False,True,2025/05/05,4,Unknown,"Unknown (Male, soldier)",Violence,"3,071",25.9,4.55,16.4%,5.5,7.2,1.6,3.7,51.7%,69.1%,57.1%,42.9%,83.0%,3.09%,79429.0,6.126,8.27,2.78,19088.571428571428,373.8571428571428,190735.2142857143,122.0,124.0,Much Above Average,202.0,61.0,28.0,35.0,27.0,30.0,20.0,11.83,People_have_reported_seeing_a_woman_calling_out_fo.png
Orange,United States,Strange noises in vacant rooms. Footsteps have been heard on many occasions that belong to an unknown and invisible being. On occasion two confederate soldiers have been seen sitting under the big tree out front talking.,Willow Grove Inn,Virginia,VA,-78.131999,38.273298,-78.1108342,38.2454106,True,True,1778/03/13,1,Unknown,"Other (Male, soldier)",Mystery,"3,071",25.9,4.55,16.4%,5.5,7.2,1.6,3.7,51.7%,69.1%,57.1%,42.9%,83.0%,3.09%,79429.0,6.126,8.27,2.78,19088.571428571428,373.8571428571428,190735.2142857143,122.0,124.0,Much Above Average,202.0,61.0,28.0,35.0,27.0,30.0,20.0,11.83,Strange_noises_in_vacant_rooms__Footsteps_have_bee.png
Orange,United States,"Strange noises coming from upstairs while no one is up there. Music has been heard in the ""main room"". Described as violins. On a few occasions witness have described a man and a woman descending the staircase.",Zachary Taylor House,Virginia,VA,-85.64715059999999,38.2792275,-78.1108342,38.2454106,True,False,2025/03/12,1,Unknown,Unknown (Male),Mystery,"3,071",25.9,4.55,16.4%,5.5,7.2,1.6,3.7,51.7%,69.1%,57.1%,42.9%,83.0%,3.09%,79429.0,6.126,8.27,2.78,19088.571428571428,373.8571428571428,190735.2142857143,122.0,124.0,Much Above Average,202.0,61.0,28.0,35.0,27.0,30.0,20.0,11.83,Strange_noises_coming_from_upstairs_while_no_one_i.png
Pearisburg,United States,"Apparitions in the dark near the center of the cemetery, Strange sounds like someone having a conversation, feeling of being followed.",Pearis Cemetery,Virginia,VA,-80.7096602,37.3258012,-80.7350711,37.3265112,True,False,2025/01/01,0,Night,Ghost (Male),Supernatural,"3,071",25.9,4.55,16.4%,5.5,7.2,1.6,3.7,51.7%,69.1%,57.1%,42.9%,83.0%,3.09%,79429.0,6.126,8.27,2.78,19088.571428571428,373.8571428571428,190735.2142857143,122.0,124.0,Much Above Average,202.0,61.0,28.0,35.0,27.0,30.0,20.0,11.83,Apparitions_in_the_dark_near_the_center_of_the_cem.png
Petersburg,United States,It is said that late at night you can hear loud voices and sounds of cannons going off. That is also a ghostly figure that rides a black horse and can be seen on top of the hill just behind the station.,Battery 9 station,Virginia,VA,-77.3568983,37.2438545,-77.40192669999999,37.2279279,True,True,2025/01/01,1,Night,Ghost (Male),Supernatural,"3,071",25.9,4.55,16.4%,5.5,7.2,1.6,3.7,51.7%,69.1%,57.1%,42.9%,83.0%,3.09%,79429.0,6.126,8.27,2.78,19088.571428571428,373.8571428571428,190735.2142857143,122.0,124.0,Much Above Average,202.0,61.0,28.0,35.0,27.0,30.0,20.0,11.83,It_is_said_that_late_at_night_you_can_hear_loud_vo.png
