Filename,Detected Objects
1st_Floor___There_are_ghost_in_the_kitchen_that_li.png,"bannister, banister, balustrade, balusters, handrail (0.42), dining table, board (0.09), prison, prison house (0.07), space heater (0.02)"
201_Bruce_Hall____a_dorm_on_the_University_Pittsbu.png,"prison, prison house (0.19), monastery (0.13), palace (0.11), barn (0.08), library (0.06)"
2am_in_the_morning_me_and_my_friends_were_video_ta.png,"prison, prison house (0.95), vault (0.02)"
2nd_Floor___Another_continuous_sighting_involves_a.png,"wardrobe, closet, press (0.27), bookcase (0.12), sliding door (0.11), shoji (0.11), chiffonier, commode (0.05)"
2_boys_saw_three_ghostly_white_dogs_on_a_trail_beh.png,"standard poodle (0.34), Bedlington terrier (0.09), whippet (0.09), kuvasz (0.08), Saluki, gazelle hound (0.05)"
2_men_died_in_a_fire_of_the_upstairs__When_you_go.png,"prison, prison house (0.41), vault (0.11), monastery (0.04), restaurant, eating house, eating place, eatery (0.02)"
2_overnight_employees__each_in_a_different_part_of.png,"gown (0.41), shower curtain (0.07), groom, bridegroom (0.07), lab coat, laboratory coat (0.06), fountain (0.04)"
4_girls_said_to_have_been_raped_and_murdered_haunt.png,"sliding door (0.39), prison, prison house (0.13), wardrobe, closet, press (0.02), radiator (0.02), schipperke (0.02)"
5_years_ago_a_married_man_with_2_children_came_out.png,"lighter, light, igniter, ignitor (0.82), saltshaker, salt shaker (0.03), wine bottle (0.02)"
Abandon_barn_were_3_people_were_killed__Street_clo.png,barn (0.91)
About_10_years_ago_a_student_was_driving_into_the.png,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.32), grille, radiator grille (0.29), cab, hack, taxi, taxicab (0.05), convertible (0.04), limousine, limo (0.03)"
About_15_years_ago_the_couple_that_lived_in_the_To.png,"doormat, welcome mat (0.20), sliding door (0.10), wardrobe, closet, press (0.07), radiator (0.05), prison, prison house (0.03)"
About_20_years_ago_a_janitor_hung_him_self_in_the.png,"suit, suit of clothes (0.43), groom, bridegroom (0.07), spotlight, spot (0.06), umbrella (0.05), window screen (0.03)"
About_33_years_ago__at_a_old_school_called_Berwyn.png,"cinema, movie theater, movie theatre, movie house, picture palace (0.57), mosque (0.14), triumphal arch (0.03), library (0.03), vault (0.02)"
About_3_years_ago_around_exam_week__a_young_man_st.png,"bookcase (0.47), library (0.35), bookshop, bookstore, bookstall (0.12), comic book (0.02)"
About_50_years_ago_there_were_some_teens_out_at_th.png,"mailbox, letter box (0.16), park bench (0.10), lakeside, lakeshore (0.09), crutch (0.06), parking meter (0.06)"
About_50_years_ago_when_the_school_was_being_built.png,"prison, prison house (0.90)"
About_forty_years_ago_a_little_girl_fell_off_the_c.png,"viaduct (0.39), pier (0.29), steel arch bridge (0.13), suspension bridge (0.03), dam, dike, dyke (0.02)"
About_two_weeks_ago_February_2_20_04__around_10_00.png,"sliding door (0.41), prison, prison house (0.07), washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.06), wardrobe, closet, press (0.04), shoji (0.04)"
Above_a_local_hardware_store__the_owner_has_three.png,"tobacco shop, tobacconist shop, tobacconist (0.34), bakery, bakeshop, bakehouse (0.26), bookshop, bookstore, bookstall (0.08), barbershop (0.02), restaurant, eating house, eating place, eatery (0.02)"
According_to_legend__this_castle_was_built_in_1890.png,castle (0.96)
Ada_witch___Sometimes_you_can_see_a_misty_blue_fig.png,"mailbox, letter box (0.23), park bench (0.13), West Highland white terrier (0.10), ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin (0.09), picket fence, paling (0.05)"
Adobe_Compound___Purchased_from_the_Mexican_govern.png,"boathouse (0.75), palace (0.05), lakeside, lakeshore (0.04)"
After_a_basketball_game_a_kid_fell_down_4_flights.png,"vault (0.45), church, church building (0.20), monastery (0.07), altar (0.06), palace (0.06)"
after_bell_rings_you_see_a_kid_in_60_or_70s_clothe.png,"sliding door (0.27), cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM (0.21), refrigerator, icebox (0.20), washer, automatic washer, washing machine (0.07)"
After_employees_lock_up_for_the_night__lights_star.png,"prison, prison house (0.82), shoji (0.02)"
After_School_hours__students_and_staff_have_seen_t.png,"padlock (0.82), combination lock (0.13)"
After_shutting_off_lights_in_the_bar_for_the_eveni.png,"restaurant, eating house, eating place, eatery (0.84), slot, one-armed bandit (0.07), dining table, board (0.02)"
After_the_Park_closed_in_1986__it_lay_abandoned__S.png,"park bench (0.19), stretcher (0.18), fire screen, fireguard (0.06), folding chair (0.05), palace (0.05)"
after_the_road_dips_down_a_small_hill__if_you_stop.png,"mountain bike, all-terrain bike, off-roader (0.09), bison (0.06), viaduct (0.04), unicycle, monocycle (0.04), valley, vale (0.03)"
Allegheny_Center__Building__7___It_has_a_documente.png,"library (0.67), window screen (0.08), window shade (0.07), palace (0.04), flagpole, flagstaff (0.03)"
Allen_s_farm_has_an_annual__Allen_s_Haunted_Hayrid.png,barn (0.92)
All_of_the_buildings_at_the_hospital_are_old_and_s.png,"palace (0.59), prison, prison house (0.09), monastery (0.09), castle (0.06)"
All_year_round__but_mainly_in_the_Fall_and_Winter_.png,cloak (0.92)
Almshouse_Rd__and_Rt__611__The_complex_was_used_as.png,"church, church building (0.85), barn (0.04)"
Along_a_road_in_Independence_Twp__in_Beaver_county.png,"dam, dike, dyke (0.49), boathouse (0.17), barn (0.15), lakeside, lakeshore (0.03), valley, vale (0.03)"
Along_time_ago__there_was_a_lady_who_lived_2_miles.png,"church, church building (0.83), barn (0.05), bell cote, bell cot (0.03), boathouse (0.02)"
ALPHA_OMEGA_WING___small_child_with_a_red_ball_in.png,"wardrobe, closet, press (0.14), sliding door (0.11), gown (0.07), television, television system (0.03), shower curtain (0.03)"
Alpha_Sigma_Tau_Sorority_House___The_story_goes_th.png,"bannister, banister, balustrade, balusters, handrail (0.94), coil, spiral, volute, whorl, helix (0.03)"
Althaugh_the_home_is_owned_by_new_owners_now__the.png,"beacon, lighthouse, beacon light, pharos (0.22), picket fence, paling (0.19), palace (0.08), church, church building (0.07), prison, prison house (0.04)"
Alumni_Hall___Aside_from_the_abnormal_creaks_in_th.png,"prison, prison house (0.64), shoji (0.03), library (0.03), sliding door (0.02)"
Alumni_Hall___James_Naismith__inventor_of_basketba.png,"cinema, movie theater, movie theatre, movie house, picture palace (0.34), television, television system (0.09), home theater, home theatre (0.06), prison, prison house (0.05), microwave, microwave oven (0.03)"
always_had_spiritual_activity_in_the_gym_stage_are.png,"library (0.75), folding chair (0.05), shoe shop, shoe-shop, shoe store (0.04), dumbbell (0.03), restaurant, eating house, eating place, eatery (0.02)"
American_Indian_spirits_are_seen_in_areas_adjacent.png,"worm fence, snake fence, snake-rail fence, Virginia fence (0.86), barn (0.03), rapeseed (0.02)"
Amity_Hall_Hotel___Amity_Hall___There_was_a_young.png,"picket fence, paling (0.86), flagpole, flagstaff (0.07)"
Anchor_Blue___There_is_a_ghost_in_the_stockroom__i.png,"library (0.78), bookshop, bookstore, bookstall (0.03), grocery store, grocery, food market, market (0.02)"
Ancient_Indian_Burial_Grounds_that_have_been_built.png,"barn (0.79), boathouse (0.05)"
Angel_Lake___At_one_time_there_was_an_old_slaughte.png,"lakeside, lakeshore (0.90)"
Ann_Arbor_rd___Sheldon___Late_at_night_when_everyo.png,"prison, prison house (0.67), sliding door (0.05), library (0.03)"
