Filename,Caption,Detected Objects
1st_Floor___There_are_ghost_in_the_kitchen_that_li.png,a living room with a couch and a table,"bannister, banister, balustrade, balusters, handrail (0.42), dining table, board (0.09), prison, prison house (0.07), space heater (0.02)"
201_Bruce_Hall____a_dorm_on_the_University_Pittsbu.png,a large building with a clock on it .,"prison, prison house (0.19), monastery (0.13), palace (0.11), barn (0.08), library (0.06)"
2am_in_the_morning_me_and_my_friends_were_video_ta.png,a fire hydrant in the middle of a street .,"prison, prison house (0.95), vault (0.02)"
2nd_Floor___Another_continuous_sighting_involves_a.png,a bathroom with a toilet and a shower .,"wardrobe, closet, press (0.27), bookcase (0.12), sliding door (0.11), shoji (0.11), chiffonier, commode (0.05)"
2_boys_saw_three_ghostly_white_dogs_on_a_trail_beh.png,a black and white photo of a dog and a dog,"standard poodle (0.34), Bedlington terrier (0.09), whippet (0.09), kuvasz (0.08), Saluki, gazelle hound (0.05)"
2_men_died_in_a_fire_of_the_upstairs__When_you_go.png,a room that has a bed and a table in it,"prison, prison house (0.41), vault (0.11), monastery (0.04), restaurant, eating house, eating place, eatery (0.02)"
2_overnight_employees__each_in_a_different_part_of.png,a man is taking a picture of himself in the mirror .,"gown (0.41), shower curtain (0.07), groom, bridegroom (0.07), lab coat, laboratory coat (0.06), fountain (0.04)"
4_girls_said_to_have_been_raped_and_murdered_haunt.png,a black and white photo of a man in a mirror,"sliding door (0.39), prison, prison house (0.13), wardrobe, closet, press (0.02), radiator (0.02), schipperke (0.02)"
5_years_ago_a_married_man_with_2_children_came_out.png,a couple of signs that are on a wall .,"lighter, light, igniter, ignitor (0.82), saltshaker, salt shaker (0.03), wine bottle (0.02)"
Abandon_barn_were_3_people_were_killed__Street_clo.png,a rusted out door of a house next to a building .,barn (0.91)
About_10_years_ago_a_student_was_driving_into_the.png,a black and white photo of a car parked in a parking lot .,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.32), grille, radiator grille (0.29), cab, hack, taxi, taxicab (0.05), convertible (0.04), limousine, limo (0.03)"
About_15_years_ago_the_couple_that_lived_in_the_To.png,a cat sitting on a toilet in a bathroom .,"doormat, welcome mat (0.20), sliding door (0.10), wardrobe, closet, press (0.07), radiator (0.05), prison, prison house (0.03)"
