GeoTopic Name,City,State,Description
Stann Creek District,Westmoreland,Pennsylvania,"Old Bush Creek Cemetery - There is a great deal of history to this site. It is haunted by spirits of Choctaw Indians who were attacked by English settlers many years ago. You can see shadows of things, negative entities, as well as the sound of footsteps in the grass."
Stann Creek District,San Jose,California,"The Creek behind the baby zoo at the Happy hallow park, is haunted by a lady wearing a short red dress with a black belt and long black hair, she is believed to have been murdered there in the 70's."
Stann Creek District,Wolf Creek,Oregon,"Owner, workers and guests at this lovely Victorian inn built in the late 1800's have all seen the apparition of a vampire creature with blood dripping from his mouth. And passing motorists on the old country freeways have seen him as well. One such story which made national news was when two hikers in the area witnessed the vampire while hiking around the wolf creek area, then later that night at the hotel they were bitten on the neck by the creature when they were in bed and it left strange unidentifiable bite marks on their neck."
Stann Creek District,La Mirada,California,"Across the bridge to the right there is a stair case up a hill in between bushes. at the top of the stairs there is whitish grey figure standing there. it looks like a statue or a person with a hood on. Late at night when you are walking down the stairs by the horse trail or on the horse trail, people have heard a little girl screaming for her mom. If you walk by the opening in the trees closest to the stairs people claim to see the little girl looking at them"
Stann Creek District,Montgomery,Alabama,"Located just on the banks of the Tallapoosa River and owned by the Poarch Band of Creek Indians, this casino is in close proximity to some very old burial mounds. Employees have reported feelings of not being alone, as well as voices whispering in their ear when no one is standing next to them. Other odd occurrences include machines seemingly playing by themselves, screens on the machines changing displays without being touched, ice jumping out of drinks by itself, and doors opening and closing by themselves. Maintenance people on the premises even reported seeing a ghost on the far side of the parking lot when the now complete main building was still under construction. - - WARNING - This is considered FEDERAL PROPERTY/RESERVATION LAND! Make sure you are cleared with the Poarch Band of Creek Indians and the Tribal Police Department before walking around in re stricted areas on the premises!"
Washington,Montebello,California,"Near the intersection of Washington and Bluff Road, at the site of the Battle of the Rio San Gabriel that took place in 1847. Spanish soldiers have been seen walking around and sometimes follow passers-by."
Washington,Stillwater,Oklahoma,"Three fraternity brothers were killed in an accident in 1977 while they were building a theme float for homecoming. The scaffolding fell into a power line and electrocuted them. The house reportedly is haunted by strange sounds, things moving around, lights and sink faucets turning off and on. Apparently the house mother's(who was there preparing for the school year)nephew had a bad encounter there while staying there at night, in which he claimed to see something. - Side note: that numerous students have been killed during homecoming float preparations and rumor is Alpha Gamma Rho had actually stopped making a homecoming float because of how many people had been killed over time. Mainly the deaths occur from scaffolding set too close to the power lines on Washington street."
Washington,Athens,Ohio,"Washington hall - there was a girls basketball team staying in the dorms at Washington hall for a basketball camp, and they were killed on the way home ad since they had a such a good time the haunt the arch of Washington hall. if you stand under it long enough you can hear the girls bouncing the balls and giggling."
Washington,Elyria,Ohio,It is said that the tunnels under the school have ghosts. There is also activity in the Washington building. The really big hot spot is the auditorium.
Washington,Lambertville,New Jersey,"The school was built in 1854. A fire destroyed much of it in 1926, but was remodeled in 1927. According to rumor, there was another fire in 1992 which destroyed the school for good. An ""official"" closing date has not yet been found. Several have claimed that in one of the classrooms on the second floor, the black boards were covered with drawings of children crying and burning. Another local legend is that of ""Buckeye"". There are actually two versions of this story, but with the same basic back-story. There was a championship football game between Lambertville and New Hope (PA). An intense game was going on. During a normal play, one of the New Hope Buckeyes was tackled to the ground. When all the players got up, this boy was left lying still on the grass. Because of this tragedy, the parents of the New Hope students had football removed form the schools extra-curricular activities. Urban legend #1- You are to stand on the landing between the first and second floors, just inside the front doors, and say out loud ""I challenge Billy (or Buckeye, depending on who you ask) to a football game!"" Then, out of nowhere, a football is supposed to fly straight at your head, breaking your neck. Urban Legend #2- While on the football field, located somewhere further up the hill, one is supposed to say out loud ""Buckeye, I challenge you to a race!"" A wind blows in, then either a mist arises or a pair of glowing, red eyes appear at one end of the field. A voice is heard saying, ""Run to the other end of the field or die!"" It was rebuilt then abandoned in the 1950's due to zoning issues. Kids are known to commit suicide from the third story gym windows. Reports of free floating apparitions, cold spots, and sounds heard by the EVPs. Also documented in pictures taken were ectoplasm like clouds and apparitions in 3rd floor window. Also strange noises when quiet. Plans to tear this building down in the very near future.WARNING: if you go there do not park on Washington street, you can get arrested for trespassing."
Prince George's County,Greenbelt,Maryland,NASA/GSFC - Bldg #05 - A strong sense of dread in the whole bldg! especially in the rear of the bldg. strange sounds throughout the bldg...especially on the upper floors!
Prince George's County,Greenbelt,Maryland,"NASA/GSFC - Bldg #07/10/15/29 complex - late one night, there was a guard that had duty in this complex of buildings. She was watching TV in the area where her desk was! she heard some one coming up the stairs. she got up to look and no one was there. as she was watching and looking she heard the footsteps go down the stairs...she shook it off and figured it was her imagination...until it happened again...only this time when the step went down she saw the door open and a small trash can lid flip over several times and the outer most door opened...this guard refused to ever step foot in this bldg again. another guard was walking up the stairs when he passed through what appeared to be a dark spot/ or shadow...this spot was the shadow of a man he saw the shadow proceeded down the stairs past him! yet another guard was looking down into the clean room and saw what appeared to be a shadow of a man glide across the floor! This complex was the sight of a death, while the High bay was being built, a worker fell from the scaffolding and fell to his death! the rest of the building shares various sightings! And strange feelings and occurrences!"
Prince George's County,Greenbelt,Maryland,NASA/GSFC - Bldg #1 - feel as if someone is following you or watching you late at night!
Prince George's County,Greenbelt,Maryland,"NASA/GSFC - Bldg #11 - feel as if someone is watching you...or will pop up right around the corner if no one is around! Late one night a guard was doing his rounds, when he was waiting for an elevator. he heard voices and laughter coming from the approaching elevator when it opened no one was there...he refused to ever go in the building again! Also a extreme feel of dread falls over you if you are alone!"
Prince George's County,Greenbelt,Maryland,"NASA/GSFC - Bldg #12 - Extreme feeling of dread, or the feel like something will happen to you if you go into the penthouse or attic area! the third floor has a similar yet not as strong feeling! the same feeling gets worse the higher you go in the building!"
