city,country,description,location,State,state_abbrev,longitude,latitude,city_longitude,city_latitude,Audio Evidence,Image/Video/Visual Evidence,Haunted Places Date,Haunted Places Witness Count,Time of Day,Apparition Type,Event Type,Deaths per Year,Average Potential Life Years Lost per Death,"Deaths per 10,000 Adults",Percentage of Adults who Binge Drink 1+ Times per Month,Median Drinks per Binge,Top 25% Drinks per Binge,Median Binge per Month,Top 25% Binge per Month,Increase in Alcohol Deaths per Capita from 2015 to 2019,Male Proportion of Deaths,Percent Deaths from Chronic Causes,Percent Deaths from Acute Causes,Percent Deaths 35+,Percent Deaths under 21,Years of Life Lost per Year,Taxpayer Cost in 2010 (billions),Inflation Adjusted Cost to 2022 (billions),Inflation Adjusted Per Drink (2022),avg_violent_crime,avg_murder_manslaughter,avg_property_crime,avg_temp_rank,avg_precip_rank,precip_category,"Top_6_Primary_Substances (Per 100,000)","Alcohol (Per 100,000)","Heroin (Per 100,000)","Methamphetamine (Per 100,000)","Other Opiates/Synthetics (Per 100,000)","Marijuana/Hashish (Per 100,000)","Cocaine (Per 100,000)"
Gadsden,United States,The third floor of the Gadsden Public Library is haunted by the original founder of the library.,Gadsden Public Library,Alabama,AL,-86.0092136,34.0127194,-86.0066386,34.014264,False,False,2025/01/01,0,Unknown,Ghost (Male),Supernatural,"2,208",27.0,6.06,13.6%,5.5,7.2,1.7,4.0,44.8%,71.5%,49.8%,50.2%,79.9%,3.94%,59606.0,3.724,5.028,3.06,20161.5,329.57142857142856,175443.42857142858,127.0,126.0,Above Average,318.0,71.0,39.0,68.0,56.0,69.0,16.0
Gadsden,United States,This middle school is supposedly haunted by General Forrest. Weird things happen in the sixth grade basement.,General Forrest Middle School,Alabama,AL,-86.0335989,34.0237966,-86.0066386,34.014264,False,False,2025/01/01,0,Unknown,Ghost (Male),Supernatural,"2,208",27.0,6.06,13.6%,5.5,7.2,1.7,4.0,44.8%,71.5%,49.8%,50.2%,79.9%,3.94%,59606.0,3.724,5.028,3.06,20161.5,329.57142857142856,175443.42857142858,127.0,126.0,Above Average,318.0,71.0,39.0,68.0,56.0,69.0,16.0
Gadsden,United States,"There was once a witch who lived on this road, which connects Noccalula Mountain and the Dwight Mill Village. Ghost investigators have taken pictures of orbs on the road.",Hinds Road,Alabama,AL,-86.03507839999999,34.0439571,-86.0066386,34.014264,False,True,2025/01/01,0,Unknown,Ghost (Male),Supernatural,"2,208",27.0,6.06,13.6%,5.5,7.2,1.7,4.0,44.8%,71.5%,49.8%,50.2%,79.9%,3.94%,59606.0,3.724,5.028,3.06,20161.5,329.57142857142856,175443.42857142858,127.0,126.0,Above Average,318.0,71.0,39.0,68.0,56.0,69.0,16.0
Gadsden,United States,"Late at night or early in the morning, you can hear people talking and doors shutting from about midnight until about 3:00AM.",Linen Service,Alabama,AL,-86.0112414,34.0183172,-86.0066386,34.014264,True,False,2025/03/13,0,Night,Unknown (Male),Unknown,"2,208",27.0,6.06,13.6%,5.5,7.2,1.7,4.0,44.8%,71.5%,49.8%,50.2%,79.9%,3.94%,59606.0,3.724,5.028,3.06,20161.5,329.57142857142856,175443.42857142858,127.0,126.0,Above Average,318.0,71.0,39.0,68.0,56.0,69.0,16.0
Gadsden,United States,"Two local ghost hunters have made pictures of orbs and numerous light strands during a recent investigation at this old cemetery. The cemetery is located approximately eight miles down Tabor Road, across from Mount Pisgah Church.",Mount Pisgah Cemetery,Alabama,AL,-85.9427501,34.1213349,-86.0066386,34.014264,False,True,2025/01/01,0,Unknown,Ghost (Male),Supernatural,"2,208",27.0,6.06,13.6%,5.5,7.2,1.7,4.0,44.8%,71.5%,49.8%,50.2%,79.9%,3.94%,59606.0,3.724,5.028,3.06,20161.5,329.57142857142856,175443.42857142858,127.0,126.0,Above Average,318.0,71.0,39.0,68.0,56.0,69.0,16.0
Gadsden,United States,"At night you can hear banging and see black shadows. You can also see people in the backyard of the hospital at night, but no one is there. There have also been odd things seen by some of the patients and staff.",Mountain View Hospital,Alabama,AL,-86.019713,34.0723788,-86.0066386,34.014264,True,True,2025/01/01,2,Night,Unknown (Male),Mystery,"2,208",27.0,6.06,13.6%,5.5,7.2,1.7,4.0,44.8%,71.5%,49.8%,50.2%,79.9%,3.94%,59606.0,3.724,5.028,3.06,20161.5,329.57142857142856,175443.42857142858,127.0,126.0,Above Average,318.0,71.0,39.0,68.0,56.0,69.0,16.0
Gadsden,United States,"The Haunted Bridge is an infamous legend in the city of Gadsden. There was a couple that had a farmhouse near Gadsden. The couple got into a heated argument, in which the woman finally ran away with her baby. Feeling sorry for his family, the man of the house got on his carriage and searched for his wife. Hiding near the bridge, the woman appeared out of the bushes and scared the horses. The horses knocked both her and the baby into Black Creek, drowning both of them. Since then, a woman can be seen walking the banks of Black Creek, carriage wheels are heard, and a baby's cry is sometimes heard. Many people have had different experiences, and one of the houses near the bridge was reported to have had an exorcism performed.",The Haunted Bridge,Alabama,AL,,,-86.0066386,34.014264,True,True,1937/03/13,2,Unknown,Ghost (Male),Supernatural,"2,208",27.0,6.06,13.6%,5.5,7.2,1.7,4.0,44.8%,71.5%,49.8%,50.2%,79.9%,3.94%,59606.0,3.724,5.028,3.06,20161.5,329.57142857142856,175443.42857142858,127.0,126.0,Above Average,318.0,71.0,39.0,68.0,56.0,69.0,16.0
Gallant,United States,Ghost children come out to play sometimes.,Children's Cemetery,Alabama,AL,,,-86.245256,33.9987084,False,False,2025/01/01,0,Unknown,Ghost (Child),Supernatural,"2,208",27.0,6.06,13.6%,5.5,7.2,1.7,4.0,44.8%,71.5%,49.8%,50.2%,79.9%,3.94%,59606.0,3.724,5.028,3.06,20161.5,329.57142857142856,175443.42857142858,127.0,126.0,Above Average,318.0,71.0,39.0,68.0,56.0,69.0,16.0
Gardendale,United States,"Things bang on your car, faces and hands can be seen on your car windows, a wolf chases you, a light moves, red glowing eyes can be seen, tombstones move around, strange sounds, noises and music are heard, and shadowed creatures are seen.",Hodges Cemetery,Alabama,AL,-86.87540949999999,33.6230357,-86.8127702,33.6601033,True,True,2025/01/01,1,Unknown,Other (Male),Mystery,"2,208",27.0,6.06,13.6%,5.5,7.2,1.7,4.0,44.8%,71.5%,49.8%,50.2%,79.9%,3.94%,59606.0,3.724,5.028,3.06,20161.5,329.57142857142856,175443.42857142858,127.0,126.0,Above Average,318.0,71.0,39.0,68.0,56.0,69.0,16.0
Gardendale,United States,"Weird screams coming from the coffins along the north side. Ghostly apparitions have been seen walking in the mortuary at 12:00AM sharp. Also, cars die when turned off.",Moncrief Cemetery,Alabama,AL,-86.8141887,33.6727984,-86.8127702,33.6601033,True,True,2025/03/13,1,Night,Ghost (Male),Supernatural,"2,208",27.0,6.06,13.6%,5.5,7.2,1.7,4.0,44.8%,71.5%,49.8%,50.2%,79.9%,3.94%,59606.0,3.724,5.028,3.06,20161.5,329.57142857142856,175443.42857142858,127.0,126.0,Above Average,318.0,71.0,39.0,68.0,56.0,69.0,16.0
